iso3,last14days,pctIncrease
AFG,,-100
AGO,,-100
ALB,1,-74.75728155
ARM,1,36.84210526
BDI,,-100
BEN,,-100
BFA,,-100
BGD,6,-76.57657658
BGR,,-100
BHR,5,-68.21515892
BIH,,-100
CAF,,-100
CIV,5,47.72727273
CMR,1,73.33333333
COD,10,28.71287129
COG,,-100
CYP,,-100
DJI,,-100
DZA,,-100
EGY,,-100
ETH,2,4
GAB,,-100
GEO,1,13.04347826
GHA,4,103.9215686
GIN,,-100
GMB,,-100
GNB,,-100
GRC,10,-0.7633587786
HRV,,-100
IDN,7,1.675977654
IND,106,-40.74392604
IRN,2,6.12244898
IRQ,33,717.1428571
ISR,1,-51.85185185
JOR,,-100
KAZ,,-100
KEN,6,271.4285714
KGZ,,-100
KHM,,-100
KWT,,-100
LBN,23,266.8711656
LBR,1,-23.52941176
LBY,,-100
LKA,4,-25.17985612
LSO,,-100
MAR,,-100
MDA,,-100
MDG,3,143.75
MKD,,-100
MLI,,-100
MMR,,-100
MNE,,-100
MOZ,,-100
MRT,1,271.4285714
MWI,6,168.9655172
MYS,,-100
NER,,-100
NGA,5,-31.93717277
NPL,15,-18.58037578
PAK,17,-6.157112527
PHL,,-100
PSE,24,-32.83100108
QAT,,-100
ROM,,-100
RUS,,-100
SAU,,-100
SDN,4,36.84210526
SEN,,-100
SLE,,-100
SOM,1,13.04347826
SRB,1,44.44444444
SSD,,-100
SWZ,2,420
SYR,2,147.6190476
TCD,1,13.04347826
TGO,,-100
THA,1,333.3333333
TJK,,-100
TKM,,-100
TUN,,-100
TUR,1,-64.38356164
TZA,,-100
UGA,2,-64.86486486
UKR,5,6.557377049
UZB,1,136.3636364
VNM,,-100
XKX,,-100
YEM,3,100
ZAF,12,-51.85185185
ZMB,,-100
ZWE,,-100
