Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Economic Fitness Metric,EF.EFM.PROD.XD,0.0011616,0.003788,0.0077535,0.0055465,0.0083123,0.010312,0.0090237,0.01201,0.013276,0.010928
Afghanistan,AFG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0098504,0.030854,0.024302,0.021053,0.018553,0.01295,0.018074,0.019065,0.011787,..
Albania,ALB,Economic Fitness Metric,EF.EFM.PROD.XD,0.14885,0.15518,0.16437,0.17599,0.18809,0.22148,0.1929,0.19614,0.21931,0.20099
Albania,ALB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.019186,0.049493,0.023447,0.025027,0.022684,0.022415,0.02385,0.022845,0.02713,..
Algeria,DZA,Economic Fitness Metric,EF.EFM.PROD.XD,5.2778E-298,1.8646E-181,4.3463E-14,1.5673E-29,3.6238E-05,3.0565E-08,7.7933E-07,3.61E-07,0.0001743,1.4751E-18
Algeria,DZA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.030727,0.03088,0.037254,0.02708,0.026825,0.023941,0.025824,0.026494,0.026352,..
Andorra,AND,Economic Fitness Metric,EF.EFM.PROD.XD,0.50958,0.44654,0.40958,0.34628,0.27126,0.16665,0.16,0.10085,0.074232,0.060865
Andorra,AND,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,7.6555E-95,0,0,7.3451E-211,2.9611E-251,1.1152E-185,0,2.8349E-104
Angola,AGO,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0051973,0.011108,0.0080544,0.0066535,0.0082228,0.011387,0.0088087,0.0099671,0.0061311,..
Argentina,ARG,Economic Fitness Metric,EF.EFM.PROD.XD,1.0753,1.0193,0.91387,0.83789,0.76397,0.72282,0.69702,0.63759,0.57101,0.51384
Argentina,ARG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.88458,0.82456,0.8659,0.89126,0.78945,0.7075,0.62958,0.59725,0.56999,..
Armenia,ARM,Economic Fitness Metric,EF.EFM.PROD.XD,0.34293,0.3235,0.25806,0.26702,0.22721,0.18895,0.17984,0.19535,0.20941,0.19791
Armenia,ARM,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0097651,0.0091407,0.0096086,0.012064,0.014238,0.013192,0.012872,0.013157,0.014121,..
Australia,AUS,Economic Fitness Metric,EF.EFM.PROD.XD,0.7154,0.63666,0.61088,0.59382,0.56213,0.49552,0.50228,0.47752,0.42865,0.35158
