Trade_Map_-_List_of_importing_markets_for_a_product_exported_by_Kenya
Importers,Exported value in 2018
World,231784
United States of America,39966
Germany,36145
"Korea, Republic of",24299
Belgium,22770
Sweden,18939
Switzerland,11380
Australia,10870
Norway,7447
United Kingdom,7312
Finland,6027
Japan,5948
Netherlands,5233
Canada,5155
Spain,3526
Romania,3441
Denmark,2941
"Taipei, Chinese",2191
Jordan,1779
Tunisia,1757
Syrian Arab Republic,1639
Saudi Arabia,1323
France,1312
New Zealand,1310
United Arab Emirates,1214
Italy,1197
Poland,819
India,644
China,609
Djibouti,554
South Africa,551
Area Nes,396
Somalia,305
Oman,299
Ireland,289
Turkey,267
Israel,252
Russian Federation,222
Latvia,214
"Iran, Islamic Republic of",205
Greece,185
Austria,141
Mexico,117
Singapore,108
Malaysia,81
Lebanon,76
Nigeria,70
"Hong Kong, China",47
Ship stores and bunkers,46
Bulgaria,42
Philippines,36
South Sudan,34
Luxembourg,24
Uganda,10
Argentina,6
Rwanda,4
Egypt,4
Botswana,2
Czech Republic,2
"Congo, Democratic Republic of the",1
Burundi,0
Croatia,0
Dominica,0
Estonia,0
Kazakhstan,0
Madagascar,0
Morocco,0
Mozambique,0
Viet Nam,0
Zimbabwe,0
Sudan,0
Thailand,0
Ukraine,0
"Tanzania, United Republic of",0
Yemen,0
Zambia,0
