country,medianAge,gini
Algeria,28.3,35.3
Angola,15.9,42.7
Benin,18.4,36.5
Botswana,24.9,60.5
Burkina Faso,17.4,39.5
Burundi,17.1,42.4
Cameroon,18.6,46.5
CAR,19.8,43.6
Chad,15.8,43.3
Comoros,20.2,55.9
DRC,18.8,42.1
Republic Congo,19.6,48.9
Cote d'Ivoire,19.9,41.5
Djibouti,24.2,40.9
Egypt,23.9,31.8
Eswatini,23.2,50.4
Ethiopia,18,33
Gabon,20.5,42.2
Gambia, The",21.3,50.2
Guinea,19,39.4
Kenya,20,48.5
Lesotho,24.4,63.2
Liberia,17.8,32
Madagascar,19.9,41
Malawi,16.6,46.1
Mali,15.8,40.1
Mauritania,20.7,37
Mauritius,35.7,35.9
Morocco,29.7,40.9
Mozambique,17.3,45.6
Namibia,21.4,59.7
Niger,15.5,34
Nigeria,18.3,48.8
Rwanda,19.2,50.4
Sao Tome & Principe,18.7,30.8
Senegal,19,40.3
Seychelles,35.8,46.8
Sierra Leone,19.1,34
South Africa,27.4,62.5
South Sudan,18.1,46
Tanzania,17.9,37.6
Togo,19.9,46
Tunisia,32,40
Uganda,15.9,39.5
Zambia,16.8,57.5
Zimbabwe,20.2,43.2
