Date,exchTo1USD
Sep-19-2019,103.65
Sep-18-2019,103.85
Sep-17-2019,103.8
Sep-16-2019,103.75
Sep-13-2019,103.7
Sep-12-2019,103.8
Sep-11-2019,103.75
Sep-10-2019,103.55
Sep-09-2019,103.75
Sep-06-2019,103.85
Sep-05-2019,103.8
Sep-04-2019,103.7
Sep-03-2019,103.8
Aug-30-2019,103.55
Aug-29-2019,103.45
Aug-28-2019,103.2
Aug-27-2019,103.35
Aug-26-2019,103.2
Aug-23-2019,103.2
Aug-22-2019,103.02
Aug-21-2019,102.85
Aug-20-2019,102.8
Aug-19-2019,103.15
Aug-16-2019,103.2
Aug-15-2019,103.2
Aug-14-2019,103.1
Aug-13-2019,103.2
Aug-12-2019,103.1
Aug-09-2019,103.1
Aug-08-2019,103.25
Aug-07-2019,103.35
Aug-06-2019,103.15
Aug-05-2019,103.1
Aug-02-2019,102.9
Aug-01-2019,103.2
Jul-31-2019,104.25
Jul-30-2019,104.1
Jul-29-2019,103.9
Jul-26-2019,103.75
Jul-25-2019,103.6
Jul-24-2019,103.9
Jul-23-2019,103.7
Jul-22-2019,103.5
Jul-19-2019,103.05
Jul-18-2019,103
Jul-17-2019,102.93
Jul-16-2019,103.05
Jul-15-2019,103
Jul-12-2019,102.9
Jul-11-2019,102.9
Jul-10-2019,102.7
Jul-09-2019,102.7
Jul-08-2019,102.55
Jul-05-2019,102.45
Jul-03-2019,102.25
Jul-02-2019,102.8
Jul-01-2019,102.5
Jun-28-2019,102.24
Jun-27-2019,102.1
Jun-26-2019,102.05
Jun-25-2019,102.05
Jun-24-2019,101.8
Jun-21-2019,101.8
Jun-20-2019,101.8
Jun-19-2019,101.9
Jun-18-2019,101.95
Jun-17-2019,101.85
Jun-14-2019,101.65
Jun-13-2019,101.4
Jun-12-2019,101.37
Jun-11-2019,101.4
Jun-10-2019,101.2
Jun-07-2019,101.1
Jun-06-2019,101.25
Jun-05-2019,101.05
Jun-04-2019,101.3
Jun-03-2019,101.27
May-31-2019,101.15
May-30-2019,101.3
May-29-2019,101.37
May-28-2019,101.15
May-24-2019,101.1
May-23-2019,101.2
May-22-2019,101.15
May-21-2019,101.05
May-20-2019,101
May-17-2019,101
May-16-2019,101.05
May-15-2019,101
May-14-2019,101
May-13-2019,101
May-10-2019,101
May-09-2019,101
May-08-2019,101
May-07-2019,100.95
May-06-2019,100.8
May-03-2019,100.95
May-02-2019,101.03
May-01-2019,101.1
Apr-30-2019,101.1
Apr-29-2019,101.25
Apr-26-2019,101.4
Apr-25-2019,101.45
Apr-24-2019,101.5
Apr-23-2019,101.45
Apr-22-2019,101.15
Apr-19-2019,101.15
Apr-18-2019,101.15
Apr-17-2019,101.15
Apr-16-2019,101
Apr-15-2019,100.9
Apr-12-2019,100.92
Apr-11-2019,100.85
Apr-10-2019,100.9
Apr-09-2019,100.8
Apr-08-2019,100.55
Apr-05-2019,100.6
Apr-04-2019,100.55
Apr-03-2019,100.65
Apr-02-2019,100.8
Apr-01-2019,100.7
Mar-29-2019,100.65
Mar-28-2019,100.6
Mar-27-2019,100.75
Mar-26-2019,100.85
Mar-25-2019,100.85
Mar-22-2019,100.5
Mar-21-2019,100.75
Mar-20-2019,100.9
Mar-19-2019,100.75
Mar-18-2019,100.55
Mar-15-2019,100.15
Mar-14-2019,100.07
Mar-13-2019,100.15
Mar-12-2019,100.05
Mar-11-2019,99.45
Mar-08-2019,99.55
Mar-07-2019,99.65
Mar-06-2019,99.9
Mar-05-2019,99.97
Mar-04-2019,99.96
Mar-01-2019,99.9
Feb-28-2019,99.95
Feb-27-2019,99.95
Feb-26-2019,100.02
Feb-25-2019,100
Feb-22-2019,100.05
Feb-21-2019,100.1
Feb-20-2019,100.13
Feb-19-2019,100.22
Feb-15-2019,100.05
Feb-14-2019,100.2
Feb-13-2019,100.15
Feb-12-2019,100.2
Feb-11-2019,100.45
Feb-08-2019,100.25
Feb-07-2019,100
Feb-06-2019,100
Feb-05-2019,100
Feb-04-2019,100
Feb-01-2019,100.3
Jan-31-2019,100.55
Jan-30-2019,100.9
Jan-29-2019,100.69
Jan-28-2019,100.6
Jan-25-2019,100.65
Jan-24-2019,100.9
Jan-23-2019,101.25
Jan-22-2019,101.5
Jan-18-2019,101.67
Jan-17-2019,101.7
