data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5016975,404,KEN6855,6855,16 March 2019,2019,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Kakamega,Lurambi,Sheywe,Kakamega,0.2833,34.75,1,Kenya Standard,National,16 March: At least five people seriously injured as police tried to disperse demonstrators who were protesting over the killing of a school teacher by the police. [Size=several],0,1552932719,KEN
4577340,404,KEN6767,6767,27 December 2018,2018,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Bungoma,Kanduyi,Khalaba,Bungoma,0.5635,34.5606,1,NTV (Kenya),National,27 December: People in Bungoma protested against police brutality following the death of a man in custody of police officials. Police responded with live fire. Two wounded,0,1552576418,KEN
5206427,404,KEN6738,6738,11 December 2018,2018,1,Protests,Excessive force against protesters,Rioters (Kenya),Vigilante Group (Kenya),5,Protesters (Kenya),LGBT (Kenya),6,56,Eastern Africa,Kenya,Turkana,Turkana West,Kakuma,Kakuma Refugee Camp,3.7167,34.8667,1,Reuters,International,"On December 11th, LGBT refugees protested against homophobic attacks in the Kakuma Refugee camp (Turkana). The protesters were then beaten with sticks and iron bars (wounding 20), by both Kenyan citizens as well as fellow refugees (note that the nationality of the refugees is not provided; accordingly no associate actors are coded as IDPs/Refugees). The UNHCR has begun the process of permenantly relocating LGBT refugees from the camp to Nairobi.",0,1559160534,KEN
4625504,404,KEN6371,6371,03 July 2018,2018,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Bungoma,Tongaren,Ndalu/ Tabani,Binyenya,0.8271,34.988,1,Daily Nation (Kenya),National,"03 July. Youths protest the poor state of a road in Binyenya. Police, who were dispersing the crowd, accidently shot and killed an area boda boda rider.",1,1552576477,KEN
4628230,404,KEN6347,6347,22 June 2018,2018,1,Protests,Excessive force against protesters,Military Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Wajir,Tarbaj,Godoma,Kotulo,2.4094,40.5948,1,Daily Nation (Kenya),National,"22 June. Security forces shot and killed a man who protested with other IDPs during an anti-al Shabaab arrest operation in an IDP camp at Kutulo, near the border with Somalia.",1,1552576480,KEN
5273863,404,KEN6280,6280,24 April 2018,2018,1,Protests,Excessive force against protesters,Protesters (Kenya),,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kwale,Kinango,Kinango,Miritini,-4,39.5667,1,Star (Kenya),National,"24 April. While police perused a suspect in a Miritini building, a crowd gathered outside, claiming the man was the wrong person and mentally challenged. Police tried to disperse the group by shooting into the crowd, killing one and injuring three.",1,1561469151,KEN
5273631,404,KEN5934,5934,09 January 2018,2018,1,Protests,Excessive force against protesters,Protesters (Kenya),,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Nyamira,West Mugirango,Bogichora,Nyamira,-0.5666,34.9167,2,Daily Nation (Kenya),National,"One person has been shot dead in Bonyunyu, Nyamira County as villagers protested the planned construction of a controversial dam. Police also arrested three people among them two women even as villagers said they are not ready for the project.",1,1561469151,KEN
4682326,404,KEN5912,5912,28 November 2017,2017,1,Protests,Excessive force against protesters,Protesters (Kenya),NASA: National Super Alliance,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,AFP,International,"Teargas fired at opposition leader Raila Odinga and his supporters as they attempted to rally in Nairobi. At least two people were shot dead in clashes with police. Odinga's supporters engaged in running battles with police as they attempted to gather for a ""memorial rally"" to honour nearly 60 people killed, mostly by police, in over four months of political upheaval. Two people were shot dead in Soweto (in Nairobi) as police manned Jacaranda grounds to prevent NASA's memorial service.",4,1552576736,KEN
5273585,404,KEN5878,5878,30 October 2017,2017,1,Protests,Excessive force against protesters,Military Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Vihiga,Vihiga,Central Maragoli,Majengo,0.0333,34.7167,1,Kenya Standard,National,The altercation between the police and protesters at the Majengo bus stage began when a car belonging to a local businessman was allegedly found with marked presidential election ballot papers. One person was shot and at least 11 others were injured. Among those beaten up was a police in civilian uniform who ran to the scene.,0,1561469151,KEN
4690374,404,KEN5838,5838,26 October 2017,2017,1,Protests,Excessive force against protesters,Protesters (Kenya),NASA: National Super Alliance,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Nairobi,Ruaraka,Baba Dogo,Kariobangi,-1.2407,36.8804,1,PANAPRESS,Regional,"Two people shot dead in Baba Dogo, no mention of violence by the protesters.",2,1552576745,KEN
5884405,404,KEN5835,5835,26 October 2017,2017,1,Protests,Excessive force against protesters,Protesters (Kenya),Students (Kenya),6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kisumu,Seme,West Seme,Kombewa,-0.1064,34.5205,1,Xinhua,National,A student is killed during protests in Kombewa,1,1567462299,KEN
5273547,404,KEN5824,5824,25 October 2017,2017,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Siaya,Alego Usonga,Siaya Township,Siaya,0.06,34.2861,1,Kenya Standard,National,"Police shot one person during protests in Siaya. They used live bullets, teargas and battons.",0,1561469151,KEN
5273544,404,KEN5819,5819,24 October 2017,2017,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Kisumu,Kisumu Central,Market Milimani,Kisumu,-0.1,34.75,1,Kenya Standard,National,At least three people were injured by the police in Kisumu when protesting against the electoral commission.,0,1561469151,KEN
5273538,404,KEN5810,5810,23 October 2017,2017,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),NASA: National Super Alliance,6,16,Eastern Africa,Kenya,Migori,Suna West,Ragana-Oruba,Migori,-1.0667,34.4667,1,Kenya Standard,National,"Confrontation between police in Migori and NASA supporters started on Tuesday night and extended to the 25th, with businesses being closed and roads blocked. Scores injured.",0,1561469151,KEN
5273531,404,KEN5803,5803,19 October 2017,2017,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,AP,International,Kenyan police fired rifles and tear gas in Nairobi's Freedom Park on 19 October to disperse demonstrators preparing to protest police killings of opposition supporters ahead of a fresh presidential election. Injuries reported.,0,1561469151,KEN
5273488,404,KEN5747,5747,09 October 2017,2017,1,Protests,Excessive force against protesters,Unidentified Armed Group (Kenya),,3,Protesters (Kenya),,6,36,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,AP,International,"On 09 October, three people were wounded during NASA demonstrations in Nairobi. A man in a car shot one person and injured tow other protesters before driving away.",0,1561469151,KEN
5273473,404,KEN5723,5723,28 September 2017,2017,1,Protests,Excessive force against protesters,Protesters (Kenya),Students (Kenya),6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,Daily Nation (Kenya); Kenya Standard,National,"On 28 September, University of Nairobi students protested the arrest of Embakasi East MP Babu Owino. 27 students and staff at the University of Nairobi were reportedly injured when police used tear gas, beat them with wooden clubs, robbed them and threatened them with sexual violence.",0,1561469151,KEN
5273450,404,KEN5684,5684,15 August 2017,2017,1,Protests,Excessive force against protesters,Protesters (Kenya),,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kisumu,Kisumu East,Kolwa Central,Nyalenda,-0.15,34.75,1,Daily Nation (Kenya),National,"Baby Pendo was allegedly hit in the head by a police officer using a baton in Nyalenda, Kisumu County, leading to her death on August 15.",1,1561469151,KEN
