HQ Country,MNE Name,Subsidiary Name,Country of Subsidiary
CHE,Nestle SA,Nestlé Equatorial African Region Ltd,KEN
CHE,Nestle SA,Nestlé Kenya Ltd,KEN
CHE,Roche Holding AG,Roche Kenya Limited,KEN
DEU,Deutsche Post AG,DHL Worldwide Express Kenya Limited,KEN
DEU,Deutsche Post AG,DHL Aviation Kenya Ltd.,KEN
DEU,Deutsche Post AG,DHL Global Forwarding (Kenya) Limited,KEN
DEU,Deutsche Post AG,DHL Logistics Kenya Limited,KEN
DEU,Deutsche Post AG,DHL Supply Chain Kenya Limited,KEN
DEU,Deutsche Post AG,Document Handling (East Africa) Ltd.,KEN
DEU,Bayer AG,Bayer East Africa Ltd.,KEN
FRA,Total SA,Total Kenya,KEN
GBR,Prudential PLC,Prudential Africa Services Ltd,KEN
GBR,Vodafone Group PLC,Vodacom Business (Kenya) Limited,KEN
GBR,Vodafone Group PLC,M-PESA Foundation,KEN
GBR,Vodafone Group PLC,M-PESA Holding Co. Limited,KEN
GBR,Vodafone Group PLC,Vodafone Kenya Limited,KEN
ITA,Enel SpA,Enel Green Power Kenya Limited,KEN
JPN,Nippon Telegraph and Telephone Corp,INTERNET SOLUTIONS KENYA LIMITED,KEN
NLD,Unilever NV,Unilever Kenya Limited,KEN
NLD,Unilever NV,Unilever Tea Kenya Ltd,KEN
NLD,Unilever NV,Brooke Bond Mombasa Limited,KEN
NLD,Unilever NV,Mabroukie Tea & Coffee Estates Limited,KEN
NLD,Unilever NV,The Limuru Tea Company Limited,KEN
NLD,Unilever NV,Unilever Tea Kenya Limited,KEN
USA,UnitedHealth Group Inc,FrontierMEDEX Kenya Limited,KEN
USA,General Motors Co,General Motors East Africa Limited,KEN
USA,Chevron Corp,Chevron Kenya Ltd,KEN
USA,International Business Machines Corp,IBM East Africa Limited,KEN
USA,DowDuPont Inc,Dow Chemical East Africa Limited,KEN
USA,Procter & Gamble Co,Procter & Gamble (East Africa) Limited,KEN
USA,Procter & Gamble Co,Procter & Gamble Services Ltd.,KEN
USA,Dell Technologies Inc,Dell Emerging Markets (EMEA) Limited (Kenya Branch),KEN
USA,Dell Technologies Inc,EMC Computer Systems Austria GmbH (“Branch in Kenya”),KEN
USA,Pfizer Inc,Pfizer Laboratories Limited,KEN
